  year  month  day    lat     lon     vgs     ugs   adts
1993.0    1.0  1.0 34.125 127.625 -0.0256 -0.0160 0.5677
1993.0    1.0  1.0 34.125 127.875  0.0241 -0.0004 0.5649
1993.0    1.0  1.0 34.125 128.125  0.0721  0.0364 0.5734
1993.0    1.0  1.0 34.125 128.375  0.1105  0.0873 0.5841
1993.0    1.0  1.0 34.125 128.625  0.1525  0.1366 0.6017
1993.0    1.0  1.0 34.125 128.875  0.1926  0.1523 0.6337
1993.0    1.0  1.0 34.125 129.125  0.1530  0.1178 0.6580
1993.0    1.0  1.0 34.125 129.375  0.0946  0.1140 0.6687
1993.0    1.0  1.0 34.125 129.625  0.1139  0.1407 0.6860
1993.0    1.0  1.0 34.125 129.875  0.1367  0.1297 0.7086
1993.0    1.0  1.0 34.125 130.125  0.1022  0.1004 0.7297
1993.0    1.0  1.0 34.125 130.375  0.0078  0.0710 0.7338
1993.0    1.0  1.0 34.125 130.625 -0.0496  0.0269 0.7074
1993.0    1.0  1.0 34.125 130.875 -0.0718  0.0130 0.6725
1993.0    1.0  1.0 34.125 131.125 -0.1323  0.0450 0.6373
1993.0    1.0  1.0 34.125 131.375 -0.1135  0.0317 0.6372
1993.0    1.0  1.0 34.125 132.375  0.5464  0.4345 0.8572
1993.0    1.0  1.0 34.125 132.625  0.4900  0.4691 0.9357
1993.0    1.0  1.0 34.125 133.125  0.2383  0.4390 1.0754
1993.0    1.0  1.0 34.125 134.875 -0.1806 -0.0218 0.5362
1993.0    1.0  1.0 34.125 136.625 -0.1097 -0.0107 0.5793
1993.0    1.0  1.0 34.125 136.875 -0.3028 -0.0638 0.5284
1993.0    1.0  1.0 34.125 137.125 -0.4252 -0.2568 0.4390
1993.0    1.0  1.0 34.125 137.375 -0.4582 -0.5037 0.3338
1993.0    1.0  1.0 34.125 137.625 -0.2518 -0.6471 0.2466
1993.0    1.0  1.0 34.125 137.875  0.1432 -0.6156 0.2313
1993.0    1.0  1.0 34.125 138.125  0.4994 -0.4703 0.2953
